Kanji,German
雨,Regen
火,Feuer
花,Blume
学,lernen
金,Gold
月,Monat Mond
校,Schule
山,Berg
人,Mensch
水,Wasser
木,Baum
本,Buch
川,Fluss
天,Himmel
田,Reisfeld
土,Erde
日,Tag Sonne
年,Jahr
名,Name Vorname
力,Kraft
生,Leben
電,elektrischer Strom Donner
父,Vater
風,Wind
刀,Katana
気,Geist Luft Atmosphere
霊,Geister Seelen
魔,Dämon Böser Geist
戝,Pirat Dieb
士,Gentleman Scholar Samurai
